"userid","username","firstname","lastname","city","state","email","phone","likesports","liketheatre","likeconcerts","likejazz","likeclassical","likeopera","likerock","likevegas","likebroadway","likemusicals"
1,"JSG99FHE","Rafael","Taylor","Kent","WA","Etiam.laoreet.libero@sodalesMaurisblandit.edu","(664) 602-4412",1,1,null,0,1,null,null,1,0,1
3,"IFT66TXU","Lars","Ratliff","High Point","ME","amet.faucibus.ut@condimentumegetvolutpat.ca","(624) 767-2465",1,0,null,0,null,0,1,null,null,1
6,"NDQ15VBM","Victor","Hernandez","Naperville","GA","turpis@accumsanlaoreet.org","(818) 765-4255",0,null,null,1,null,1,1,1,1,1
8,"AZG78YIP","Colton","Roy","Guayama","AK","ullamcorper.nisl@Cras.edu","(998) 934-9210",null,null,1,1,null,1,0,null,0,0
11,"MFN29TYU","Anika","Huff","Rawlins","MT","arcu.Curabitur@senectusetnetus.com","(419) 147-8207",null,null,null,1,null,1,null,null,null,null
12,"FVK28WAS","Bruce","Beck","Kona","OH","ac@velit.ca","(617) 527-9908",null,null,0,null,null,0,null,null,null,null
13,"QTF33MCG","Henry","Cochran","Bossier City","QC","Aliquam.vulputate.ullamcorper@amalesuada.org","(783) 105-0989",null,1,null,null,null,null,1,1,1,null
14,"OVQ88RKY","Mallory","Farrell","Villa Park","ID","vel.est@velitegestas.edu","(711) 160-7386",null,null,null,null,null,1,null,null,0,null
17,"WWZ18EOX","Cody","Moss","Mobile","ON","dolor.nonummy@ipsumdolorsit.ca","(412) 488-2896",0,0,null,null,null,null,0,null,0,0
20,"VJT98ZQY","Jane","Dyer","Sharon","NH","et@Nunclaoreet.ca","(411) 638-5867",null,1,null,0,null,0,null,null,1,0
21,"JEO48YJJ","Ralph","Bird","Charlotte","NM","justo.nec.ante@quismassa.edu","(599) 126-0366",null,0,0,null,0,null,1,0,null,1
26,"XBG73AGE","Wing","Jennings","Roswell","WI","non@enimsitamet.edu","(906) 717-9510",0,1,null,null,null,null,null,null,0,1
30,"HMF84NKS","Guy","Cochran","Effingham","NU","Nullam.enim@Maecenas.com","(757) 207-0052",null,1,null,null,1,null,null,null,null,null
31,"DCF82GRJ","Emerald","Chan","Nenana","NU","fermentum@asollicitudin.ca","(329) 235-3570",null,null,0,null,1,null,null,0,null,0
32,"BFR93AMT","Macy","Dunlap","Ruston","OH","magnis.dis.parturient@iaculisodioNam.edu","(774) 511-4516",1,1,null,null,null,0,1,null,null,0
34,"SYS05NZE","Tamekah","Caldwell","Connellsville","NY","sapien.molestie.orci@Vestibulumaccumsan.edu","(209) 400-4636",null,null,0,0,null,null,null,null,0,null
36,"AOA93JSJ","Quemby","Glenn","San Marino","RI","mauris@magnaUt.com","(950) 546-9951",null,null,null,null,0,0,null,0,null,1
41,"KJZ19UUX","Gloria","Rodriguez","Methuen","PE","et.netus.et@enim.ca","(632) 166-9054",null,1,1,1,1,1,null,0,0,0
43,"FQH35NEC","Daniel","Levine","Chattanooga","ON","et.tristique@penatibuset.org","(417) 343-8139",null,null,0,0,1,0,0,null,1,1
45,"ILZ19ZGO","Erica","Fowler","Baldwin Park","NL","arcu.Vestibulum@Sedet.org","(574) 580-1144",null,1,null,0,null,0,null,null,null,0
48,"RPX37LOP","Yardley","Farrell","West Covina","TX","morbi.tristique@tortor.ca","(422) 145-8712",0,0,null,1,1,0,null,0,1,null
49,"TNP95CNK","Sigourney","Peterson","Phenix City","AK","ornare.facilisis.eget@sociisnatoquepenatibus.edu","(716) 869-7786",0,null,0,null,0,1,null,1,1,1
50,"AKT72KRB","Chase","Lamb","Norton","BC","lectus.convallis@suscipitest.com","(300) 812-5915",1,0,0,null,0,null,0,null,1,null
51,"YQL95PGC","Kirby","Irwin","Olean","MB","dui@Curabituregestas.org","(487) 980-0886",null,1,1,null,1,0,null,0,null,1
53,"RHV26VXQ","Deborah","Reyes","Torrance","ON","lacinia.mattis@tempor.ca","(191) 534-8337",0,null,null,0,0,null,null,0,null,null
55,"NNU82WBS","Dacey","Norman","Rolling Hills","BC","Nulla.tincidunt@ametconsectetueradipiscing.ca","(847) 867-4990",null,1,0,1,null,0,null,null,null,0
58,"DYP75ASU","Kasimir","Dudley","Fairbanks","MI","egestas.a.scelerisque@utnisi.edu","(505) 893-6588",1,null,null,null,null,null,null,null,0,1
61,"FQZ74DGJ","Brittany","Levine","Topeka","NT","nibh.Donec.est@et.ca","(786) 614-7801",0,null,null,0,null,null,null,0,0,null
64,"WMG49PPZ","Ainsley","Jenkins","Yigo","CO","ridiculus.mus@duiCumsociis.com","(897) 194-4114",null,null,1,0,null,null,1,0,null,null
65,"ZIX73XEV","Allegra","Ford","Durant","NE","augue.scelerisque@pellentesque.edu","(512) 399-1427",0,0,null,1,0,0,0,0,1,null
69,"RCU95VIX","Knox","Snider","Hartford","MB","dictum@Morbi.org","(919) 878-3610",0,1,null,null,null,1,1,null,0,null
70,"BAL08EYF","Sierra","Berg","Falls Church","ON","elit.pede@ipsumdolorsit.org","(832) 809-9193",null,null,0,null,null,0,0,1,1,null
71,"DIE31HJC","Jaime","Fleming","Jeffersontown","MO","massa@purus.ca","(646) 109-9784",null,1,1,0,null,1,null,null,null,null
75,"GZW27KBL","Eugenia","Zimmerman","West Haven","PE","dictum@euismodurna.ca","(209) 244-9857",1,null,0,0,null,null,0,0,null,1
77,"FYX65DFQ","Justina","Wells","Placentia","IN","Duis.ac@et.com","(953) 531-4965",0,0,null,null,1,1,null,1,0,null
78,"MBZ85IBZ","Dexter","Pacheco","Lock Haven","QC","Nulla@etmagnis.org","(394) 828-6178",null,null,null,0,null,1,null,1,0,null
79,"TKE12MZX","Matthew","Reilly","Rancho Palos Verdes","SK","metus@Lorem.org","(572) 508-4675",1,null,null,null,null,null,null,null,null,null
80,"UWC03FYT","Ruby","Mullen","Fort Wayne","NJ","nisi.nibh.lacinia@augue.com","(555) 756-9691",null,1,null,null,1,null,null,null,1,1
84,"ALT91ZFJ","Tashya","Michael","Eugene","VT","ligula.Donec@Pellentesquehabitantmorbi.com","(576) 811-4606",1,0,null,null,1,null,0,null,0,null
88,"XFG71PDO","Whitney","Mathews","Abilene","MS","eu.enim@suscipit.org","(863) 151-8147",null,1,0,0,0,null,null,1,0,null
90,"JFT95KJK","Yuli","Gordon","Lockport","PE","diam.eu@egestas.com","(253) 868-2942",null,0,0,0,0,null,1,null,null,null
91,"VHW10NAJ","Keaton","Hinton","Minot","NS","neque.tellus.imperdiet@Fuscealiquam.edu","(560) 728-9205",null,null,null,1,0,null,1,null,0,null
92,"HYP36WEQ","Brittany","Crane","Charlotte Amalie","MT","nibh@ut.com","(606) 574-8591",1,null,null,0,0,0,null,1,null,0
96,"TVH83FMC","Destiny","Medina","Cudahy","NL","tempus.non.lacinia@tristiquepellentesquetellus.ca","(262) 452-8127",null,null,0,null,0,null,1,null,1,0
98,"CSR16XYV","Timon","Flynn","West Palm Beach","AZ","aliquam@euarcu.edu","(643) 153-4117",null,0,1,1,0,0,null,null,0,1
99,"IKK64ZYX","Blaze","Bradley","New Haven","NT","nulla.at@cursusa.ca","(466) 609-8359",null,null,1,1,1,1,null,null,0,null
